customer_id,purchase_year,purchase_month,age,gender,annual_income,purchase_date,purchase_amount,next_month_purchase_amount,gender_Female,gender_Male,Recency,Frequency,Monetary
1,2023,7,40.0,Female,119228.0,2023-07-20 19:16:58+03:00,725.5400000000001,2023.4,True,False,25,6,5425.35
1,2023,11,40.0,Female,119228.0,2023-11-22 19:16:58+03:00,1415.56,1703.75,True,False,25,6,5425.35
1,2023,12,40.0,Female,119228.0,2023-12-23 19:16:58+03:00,1703.75,216.73,True,False,25,6,5425.35
1,2024,2,40.0,Female,119228.0,2024-02-10 19:16:58+03:00,216.73,1102.69,True,False,25,6,5425.35
1,2024,3,40.0,Female,119228.0,2024-03-19 19:16:58+03:00,1102.69,261.08,True,False,25,6,5425.35
2,2023,6,64.0,Male,112085.0,2023-06-09 19:16:58+03:00,1931.33,461.49,False,True,8,6,6331.36
2,2023,8,64.0,Male,112085.0,2023-08-24 19:16:58+03:00,461.49,1274.57,False,True,8,6,6331.36
2,2023,9,64.0,Male,112085.0,2023-09-23 19:16:58+03:00,1274.57,1917.8700000000001,False,True,8,6,6331.36
2,2023,11,64.0,Male,112085.0,2023-11-26 19:16:58+03:00,1917.8700000000001,301.6,False,True,8,6,6331.36
2,2024,1,64.0,Male,112085.0,2024-01-01 19:16:58+03:00,301.6,444.5,False,True,8,6,6331.36
5,2023,9,36.0,Female,125619.0,2023-09-06 19:16:58+03:00,860.0,463.0,True,False,18,4,3692.5699999999997
5,2023,11,36.0,Female,125619.0,2023-11-11 19:16:58+03:00,463.0,1236.37,True,False,18,4,3692.5699999999997
5,2024,2,36.0,Female,125619.0,2024-02-13 19:16:58+03:00,1236.37,1133.2,True,False,18,4,3692.5699999999997
6,2023,6,34.0,Female,71715.0,2023-06-23 19:16:58+03:00,614.38,724.31,True,False,122,3,2212.13
6,2023,10,34.0,Female,71715.0,2023-10-03 19:16:58+03:00,724.31,873.44,True,False,122,3,2212.13
7,2023,8,28.0,Female,105233.0,2023-08-07 19:16:58+03:00,1150.42,730.13,True,False,49,3,2237.17
7,2023,11,28.0,Female,105233.0,2023-11-24 19:16:58+03:00,730.13,356.62,True,False,49,3,2237.17
8,2023,7,60.0,Female,88620.0,2023-07-19 19:16:58+03:00,843.31,340.32,True,False,65,3,2311.76
8,2024,2,60.0,Female,88620.0,2024-02-09 19:16:58+03:00,340.32,1128.13,True,False,65,3,2311.76
9,2023,9,37.0,Female,109408.0,2023-09-22 19:16:58+03:00,989.88,365.59,True,False,113,2,1355.47
10,2023,5,53.0,Female,86478.0,2023-05-25 19:16:58+03:00,827.85,97.47,True,False,2,3,2033.31
10,2023,11,53.0,Female,86478.0,2023-11-02 19:16:58+03:00,97.47,1107.99,True,False,2,3,2033.31
12,2023,5,36.0,Female,111451.0,2023-05-29 19:16:58+03:00,250.67,1085.06,True,False,21,6,4403.53
12,2023,6,36.0,Female,111451.0,2023-06-08 19:16:58+03:00,1085.06,1384.18,True,False,21,6,4403.53
12,2023,8,36.0,Female,111451.0,2023-08-03 19:16:58+03:00,1384.18,740.58,True,False,21,6,4403.53
12,2023,12,36.0,Female,111451.0,2023-12-04 19:16:58+03:00,740.58,677.88,True,False,21,6,4403.53
12,2024,3,36.0,Female,111451.0,2024-03-31 19:16:58+03:00,677.88,265.16,True,False,21,6,4403.53
14,2023,12,53.0,Male,32594.0,2023-12-13 19:16:58+03:00,1346.29,1454.01,False,True,75,3,3130.06
14,2024,1,53.0,Male,32594.0,2024-01-13 19:16:58+03:00,1454.01,329.76,False,True,75,3,3130.06
16,2023,6,25.0,Female,110447.0,2023-06-01 19:16:58+03:00,242.39,618.96,True,False,156,5,4521.68
16,2023,8,25.0,Female,110447.0,2023-08-30 19:16:58+03:00,618.96,1115.79,True,False,156,5,4521.68
16,2023,9,25.0,Female,110447.0,2023-09-03 19:16:58+03:00,1115.79,1676.85,True,False,156,5,4521.68
16,2023,10,25.0,Female,110447.0,2023-10-06 19:16:58+03:00,1676.85,867.69,True,False,156,5,4521.68
17,2023,7,23.0,Female,91234.0,2023-07-04 19:16:58+03:00,996.73,1170.85,True,False,11,6,5267.86
17,2023,8,23.0,Female,91234.0,2023-08-18 19:16:58+03:00,1170.85,1033.63,True,False,11,6,5267.86
17,2023,9,23.0,Female,91234.0,2023-09-27 19:16:58+03:00,1033.63,297.32,True,False,11,6,5267.86
17,2023,11,23.0,Female,91234.0,2023-11-13 19:16:58+03:00,297.32,1647.7,True,False,11,6,5267.86
17,2023,12,23.0,Female,91234.0,2023-12-30 19:16:58+03:00,1647.7,121.63,True,False,11,6,5267.86
18,2023,8,27.0,Female,113575.0,2023-08-09 19:16:58+03:00,780.49,178.41,True,False,170,3,1109.04
18,2023,11,27.0,Female,113575.0,2023-11-12 19:16:58+03:00,178.41,150.14,True,False,170,3,1109.04
19,2023,7,21.0,Female,68705.0,2023-07-30 19:16:58+03:00,583.66,990.03,True,False,48,4,2496.85
19,2023,12,21.0,Female,68705.0,2023-12-17 19:16:58+03:00,990.03,915.49,True,False,48,4,2496.85
19,2024,3,21.0,Female,68705.0,2024-03-27 19:16:58+03:00,915.49,7.67,True,False,48,4,2496.85
20,2023,7,33.0,Male,76401.0,2023-07-04 19:16:58+03:00,464.0,985.4,False,True,137,2,1449.4
